"Selection","Line","Vial","Red.Offspring","Peach.offspring","Total","w"
"ML","1","1",23,8,31,0.741935483870968
"ML","1","2",9,29,38,0.236842105263158
"ML","1","3",15,6,21,0.714285714285714
"ML","1","4",23,28,51,0.450980392156863
"ML","2","1",36,27,63,0.571428571428571
"ML","2","2",76,41,117,0.64957264957265
"ML","2","3",46,41,87,0.528735632183908
"ML","2","4",27,39,66,0.409090909090909
"ML","2","5",56,31,87,0.64367816091954
"ML","3","1",51,17,68,0.75
"ML","3","2",73,35,108,0.675925925925926
"ML","3","3",48,9,57,0.842105263157895
"ML","3","4",19,34,53,0.358490566037736
"ML","3","5",52,30,82,0.634146341463415
"ML","4","1",64,45,109,0.587155963302752
"ML","4","2",11,17,28,0.392857142857143
"ML","4","3",15,7,22,0.681818181818182
"ML","4","4",26,39,65,0.4
"ML","4","5",16,25,41,0.390243902439024
"ML","5","1",53,13,66,0.803030303030303
"ML","5","2",33,14,47,0.702127659574468
"ML","5","3",99,12,111,0.891891891891892
"ML","5","4",63,64,127,0.496062992125984
"ML","5","5",13,56,69,0.188405797101449
"ML","6","1",86,9,95,0.905263157894737
"ML","6","2",14,14,28,0.5
"ML","6","3",15,12,27,0.555555555555556
"ML","6","4",10,20,30,0.333333333333333
"ML","6","5",91,38,129,0.705426356589147
"ML","7","1",44,81,125,0.352
"ML","7","2",19,8,27,0.703703703703704
"ML","7","3",54,33,87,0.620689655172414
"ML","7","4",57,49,106,0.537735849056604
"ML","7","5",75,29,104,0.721153846153846
"ML","8","1",19,40,59,0.322033898305085
"ML","8","2",21,75,96,0.21875
"ML","8","3",70,59,129,0.542635658914729
"ML","8","4",104,43,147,0.707482993197279
"ML","8","5",28,41,69,0.405797101449275
"ML","9","1",36,45,81,0.444444444444444
"ML","9","2",61,49,110,0.554545454545455
"ML","9","3",30,22,52,0.576923076923077
"ML","9","4",48,38,86,0.558139534883721
"ML","9","5",64,15,79,0.810126582278481
"ML","10","1",31,14,45,0.688888888888889
"ML","10","2",53,70,123,0.430894308943089
"ML","10","3",74,46,120,0.616666666666667
"ML","10","4",51,19,70,0.728571428571429
"ML","10","5",50,78,128,0.390625
"ML","11","1",95,23,118,0.805084745762712
"ML","11","2",16,74,90,0.177777777777778
